a,28536,
aarónico,2,967
ababilla,2,115
ababillado,2,1153
ababíllame,2,1156
ababillamos,2,11564
ababillan,2,1156
ababillándome,2,115636
ababillándote,2,115633
ababillar,2,1159
ababillará,2,1159
ababillarán,2,11596
ababillarás,2,11594
ababillaré,2,1159
ababillaremos,2,115964
ababillarse,2,11594
ababillás,2,1154
ababille,2,115
ababillemos,2,11564
ababillen,2,1156
ababilles,2,1154
ababillo,2,115
abacería,2,149
abacero,4,149
abaco,6,17
abacora,2,179
abacorado,2,1793
abacoramos,2,17964
abacoran,2,1796
abacorando,2,17963
abacorar,2,1799
abacorará,2,1799
abacorarán,2,17996
abacorarás,2,17994
abacoraré,2,1799
abacoraremos,2,179964
abacorás,2,1794
abacore,2,179
abacoremos,2,17964
abacoren,2,1796
abacores,2,1794
abacoro,2,179
abad,311,13
abadejo,15,138
abadengo,2,1368
abaderna,2,1396
abadernado,2,13963
abadernamos,2,139664
abadernan,2,13966
abadernando,2,139663
abadernar,2,13969
abadernará,2,13969
abadernarán,2,139696
abadernarás,2,139694
abadernaré,2,13969
abadernaremos,2,1396964
abadernás,2,13964
abaderne,2,1396
abadernemos,2,139664
abadernen,2,13966
abadernes,2,13964
abaderno,2,1396
abadesa,38,134
abadía,245,13
abadiato,2,133
abaja,6,18
abajadero,2,1839
abajado,2,183
abajamiento,2,18663
abajamos,2,1864
abajan,2,186
abajando,2,1863
abajar,5,189
abajará,2,189
abajarán,2,1896
abajarás,2,1894
abajaré,2,189
abajaremos,2,18964
abajás,2,184
abaje,2,18
abajemos,2,1864
abajen,2,186
abajeNo,2,186
abajes,2,184
abajo,106,18
abajo,24826,18
abala,3,15
abalado,5,153
abalamos,2,1564
abalan,2,156
abalance,8,1564
abalancemos,3,156464
abalancen,3,15646
abalances,5,15644
abalando,2,1563
abalanza,38,1564
abalanzado,5,15643
abalánzame,2,15646
abalanzamos,9,156464
abalanzan,22,15646
abalanzando,2,156463
abalanzar,2,15649
abalanzará,5,15649
abalanzarán,3,156496
abalanzarás,2,156494
abalanzaré,4,15649
abalanzaremos,2,1564964
abalanzás,2,15644
abalanzo,10,1564
abalar,3,159
abalará,2,159
abalarán,2,1596
abalarás,2,1594
abalaré,2,159
abalaremos,2,15964
abalás,2,154
abalaustrado,2,154393
abaldona,2,1536
abaldonado,2,15363
abaldonamos,2,153664
abaldonan,2,15366
abaldonando,2,153663
abaldonar,2,15369
abaldonará,2,15369
abaldonarán,2,153696
abaldonarás,2,153694
abaldonaré,2,15369
abaldonaremos,2,1536964
abaldonás,2,15364
abaldone,2,1536
abaldonemos,2,153664
abaldonen,2,15366
abaldones,2,15364
abaldono,2,1536
abale,2,15
abalea,3,15
abaleado,9,153
abaleamos,2,1564
abalean,2,156
abaleando,2,1563
abalear,2,159
abaleará,2,159
abalearán,3,1596
abalearás,2,1594
abalearé,2,159
abalearemos,2,15964
abaleás,2,154
abalee,2,15
abaleemos,2,1564
abaleen,2,156
abalees,2,154
abalemos,2,1564
abalen,2,156
abaleo,2,15
abales,2,154
abalice,2,154
abalicemos,2,15464
abalicen,2,1546
abalices,2,1544
abaliza,2,154
abalizado,2,1543
abalizamos,2,15464
abalizan,2,1546
abalizando,2,15463
abalizar,2,1549
abalizará,2,1549
abalizarán,2,15496
abalizarás,2,15494
abalizaré,2,1549
abalizaremos,2,154964
abalizás,2,1544
abalizo,2,154
aballa,2,15
aballado,2,153
aballamos,2,1564
aballan,2,156
aballando,2,1563
aballar,2,159
aballará,2,159
aballarán,2,1596
aballarás,2,1594
aballaré,2,159
aballaremos,2,15964
aballás,2,154
aballe,2,15
aballemos,2,1564
aballen,2,156
aballes,2,154
aballestar,2,15439
aballo,2,15
abalo,2,15
abalorio,19,159
abaluartar,2,15939
abana,2,16
abanado,2,163
abanamos,2,1664
abanan,2,166
